word,article,english,example
Quittung,die,add English meaning,Brauchen Sie eine Quittung?
Quiz,das,add English meaning,Er hat beim Quiz gewonnen.
Rabatt,der,add English meaning,Sie bekommen zehn Prozent Rabatt.
Rad,das,add English meaning,Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.
Radfahrer,der,add English meaning,Achtung! Da kommt eine Radfahrerin.
Radio,das,add English meaning,Ich möchte mir ein neues Radio kaufen.
Rand,der,add English meaning,Wir wohnen am Rand der Innenstadt. Dort ist es billiger und ruhiger.
Rasen,der,add English meaning,Bitte den Rasen nicht betreten! Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.
raten,,add English meaning,Ich möchte billig Urlaub machen. Was raten Sie mir?
Rat Ratschlag,der,add English meaning,Der Rat Ratschlag kommt in der Prüfung vor.
Rätsel,das,add English meaning,Das Rätsel ist ein nützliches Wort.
rauchen,,add English meaning,Hier ist das Rauchen verboten!
Raucher,der,add English meaning,Gibt es hier ein Zimmer für Raucher?
Raum,der,add English meaning,Getränke gibt es im Raum nebenan.
rauf/raufraus/rausreagieren,,add English meaning,"Hier ist die Treppe, also los, schnell rauf!"
Reaktion,die,add English meaning,Diese Reaktion ist typisch für ihn.
realisieren,,add English meaning,Diese Pläne sind nicht zu realisieren.
Realität,die,add English meaning,Das gefällt dir nicht? Aber das ist die Realität.
realistisch,,add English meaning,"Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch."
Recherche,die,add English meaning,Für diesen Bericht waren viele Recherchen nötig.
rechnen,,add English meaning,Meine Tochter kann gut rechnen.
Rechner,der,add English meaning,"Bitte, die Rechnung!"
Recht,das,add English meaning,Nach deutschem Recht kann er dafür nicht bestraft werden.
rechtlich,,add English meaning,Wir beraten Sie in rechtlichen Fragen.
recht,,add English meaning,"Ist es Ihnen recht, wenn ich morgen vorbeikomme?"
rechts,,add English meaning,An der nächsten Kreuzung müssen Sie rechts abbiegen.
rechtzeitig,,add English meaning,Bitte weck mich rechtzeitig. Ich muss pünktlich sein.
reden,,add English meaning,Worüber habt ihr gestern geredet?
Rede,die,add English meaning,", -n Der Präsident hat eine Rede gehalten."
reduzieren,,add English meaning,Wir haben jetzt unsere Preise reduziert.
Referat,das,add English meaning,Vielen Dank für dieses interessante Referat.
Reform,die,add English meaning,Die Regierung plant für nächstes Jahr eine Reform. Die Steuern sollen steigen.
Regal,das,add English meaning,Das Buch steht im Regal oben rechts.
Regel,die,add English meaning,Im Straßenverkehr sind viele Regeln zu beachten.
regelmäßig,,add English meaning,Ich wiederhole heute 'regelmäßig'.
regeln,,add English meaning,Die Ampel ist kaputt. Ein Polizist regelt den Verkehr.
regnen,,add English meaning,Es hat gestern den ganzen Tag geregnet.
Regen,der,add English meaning,Der Regen ist heute wichtig.
Region,die,add English meaning,In der Rhein-Main-Region sind die Mieten sehr hoch.
regional,,add English meaning,'regional' kommt in vielen Texten vor.
reich,,add English meaning,"Wenn ich reich wäre, würde ich eine Weltreise machen."
reichen,,add English meaning,Ich nehme nur eine Suppe. Das reicht mir.
reif,,add English meaning,Die Banane kannst du nicht essen. Sie ist noch nicht reif.
Reifen,der,add English meaning,Ich habe Karten für das Konzert. Wir sitzen in der dritten Reihe.
Reihenfolge,die,add English meaning,Achten Sie auf die Reihenfolge der Inhaltspunkte.
rein,,add English meaning,Der Pullover ist aus reiner Wolle.
reinigen,,add English meaning,Ich möchte diesen Anzug reinigen lassen.
Reinigung,die,add English meaning,Die Reinigung des Büros ist nicht teuer.
Reis,der,add English meaning,"Eine Portion Huhn mit Reis, bitte."
reisen,,add English meaning,Ich reise gern nach Spanien.
Reise,die,add English meaning,Wir haben eine Reise nach Österreich gebucht.
Reisebüro,das,add English meaning,Wir haben die Reise im Reisebüro gebucht.
reiten,,add English meaning,Möchtest du gerne reiten lernen?
Reklame,die,add English meaning,Ich möchte keine Reklame im Briefkasten.
Rekord,der,add English meaning,Es gibt einen neuen Rekord im Schwimmen.
relativ,,add English meaning,"Die Wohnung ist relativ groß, aber sehr teuer."
Religion,die,add English meaning,Religion ist für manche Menschen sehr wichtig.
rennen,,add English meaning,"Ich bin sehr schnell gerannt, aber der Bus war schon weg."
in Rente gehen/sein D,,add English meaning,Das Verb 'in Rente gehen' ist wichtig.
Rentner,der,add English meaning,Der Rentner kommt in der Prüfung vor.
reparieren,,add English meaning,Das Fahrrad kann man leider nicht mehr reparieren.
Reparatur,die,add English meaning,-en Eine Reparatur wäre zu teuer. Hast du die Reportage über Afrika gesehen?
Reportage,die,add English meaning,Die Reportage ist heute wichtig.
Reporter,der,add English meaning,Der Reporter steht auf meiner Liste.
reservieren,,add English meaning,Ich wiederhole heute 'reservieren'.
Reservierung,die,add English meaning,Ich habe großen Respekt vor meinem Lehrer.
Respekt,der,add English meaning,Der Respekt passt gut zu diesem Thema.
Rest,der,add English meaning,Hier sind 100 Euro. Den Rest gebe ich dir später.
Restaurant,das,add English meaning,Wir essen heute im Restaurant.
retten,,add English meaning,Der Arzt konnte das Kind noch retten.
Rezept,das,add English meaning,Diese Schmerztabletten gibt es nur auf Rezept.
Rezeption/Reception,die,add English meaning,Geben Sie bitte den Schlüssel an der Rezeption ab.
Richter,der,add English meaning,Der Richter hat noch kein Urteil gesprochen.
richtig,,add English meaning,"Was Sie da sagen, ist richtig."
Richtung,die,add English meaning,Der Zug in Richtung Köln hat Verspätung.
riechen,,add English meaning,Dieses Parfüm riecht sehr gut.
riesig,,add English meaning,Die Stadt ist riesig.
Rind,das,add English meaning,Ich esse nur Fleisch vom Rind.
Ring,der,add English meaning,Ich habe meinen Ring verloren.
Risiko,das,add English meaning,Ich nehme keinen Kredit auf. Das Risiko ist mir zu hoch.
Rock,der,add English meaning,Diese Bluse passt nicht zu meinem Rock.
roh,,add English meaning,Du kannst das nicht essen. Das Fleisch ist noch roh.
Rohr,das,add English meaning,Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Rohr.
Rolle,die,add English meaning,Die Schauspielerin hat ihre Rolle sehr gut gespielt.
Roman,der,add English meaning,Ich lese gern Romane.
Rose,die,add English meaning,Rote Rosen sind ein schönes Geschenk.
Rucksack,der,add English meaning,Ich brauche nicht viel. Ich nehme nur meinen Rucksack mit.
rückdie Rückfahrt,,add English meaning,Auf der Rückfahrt besuche ich meine Eltern.
Rückkehr,die,add English meaning,Nach meiner Rückkehr haben wir ein großes Fest gefeiert.
rückwärts,,add English meaning,Ich bin rückwärts aus der Garage gefahren.
Rücken,der,add English meaning,Mir tut der Rücken weh. Nehmen Sie bitte Rücksicht auf die anderen Gäste.
rufen,,add English meaning,"Ich habe die Kinder gerufen, aber sie haben mich nicht gehört."
Rufnummer,die,add English meaning,Wir möchten Sie gerne anrufen. Wie ist Ihre Rufnummer?
Ruhe,die,add English meaning,Die Ruhe steht auf meiner Liste.
ruhig,,add English meaning,Ich suche ein ruhiges Zimmer.
rund,,add English meaning,Wir haben für unser Wohnzimmer einen runden Tisch gekauft.
Runde,die,add English meaning,Ich laufe jeden Tag fünf Runden im Park.
Rundfahrt,die,add English meaning,Am zweiten Tag haben wir eine Rundfahrt durch den Hafen gemacht.
Saal,der,add English meaning,Für unsere Familienfeier haben wir einen kleinen Saal gemietet.
Sache,die,add English meaning,Wir haben unsere Sachen im Hotel gelassen.
Sack,der,add English meaning,Ich hätte gern einen Sack Kartoffeln.
Saft,der,add English meaning,Ich trinke gern Apfelsaft.
sagen,,add English meaning,Entschuldigung! Was haben Sie gesagt?
Saison,die,add English meaning,Urlaub in den Schulferien ist immer teurer. Das ist die Saison mit den höchsten Preisen.
Salat,der,add English meaning,Möchten Sie zum Fisch einen Salat?
Salbe,die,add English meaning,Diese Salbe gibt es nur auf Rezept.
Salon,der,add English meaning,Sie arbeitet als Friseurin in einem Salon.
Salz,das,add English meaning,Gib mir bitte mal das Salz!
salzig,,add English meaning,Das Wort 'salzig' ist nützlich.
sammeln,,add English meaning,Mein Bruder sammelt Briefmarken.
sämtliche,,add English meaning,Sämtliche Fenster müssen geschlossen bleiben.
Sand,der,add English meaning,Der Sand passt gut zu diesem Thema.
Sänger,der,add English meaning,Wie findest du diesen Sänger? − Ich finde seine Stimme toll.
satt,,add English meaning,"Möchten Sie noch etwas? – Nein danke, ich bin satt."
Satz,der,add English meaning,Den letzten Satz verstehe ich nicht.
sauber,,add English meaning,Bringen Sie mir bitte ein sauberes Glas!
sauer,,add English meaning,Die Äpfel sind mir zu sauer.
Schachtel,die,add English meaning,Ich hätte gern eine Schachtel Zigaretten.
schade,,add English meaning,Ich kann leider nicht mitkommen. – Das ist aber schade!
schaden,,add English meaning,Ein kleines Glas Wein kann nicht schaden.
Schaden,der,add English meaning,Ich hatte einen Unfall mit dem Auto. Jetzt muss ich den Schaden der Versicherung melden. Rauchen ist schädlich für die Gesundheit.
schaffen,,add English meaning,"Kannst du mir helfen, die Party vorzubereiten? Ich schaffe das nicht allein."
schalten,,add English meaning,"Schalten Sie bitte das Licht aus, wenn Sie gehen."
Schalter,der,add English meaning,Der Lichtschalter ist rechts neben der Tür.
Schatten,der,add English meaning,"Wie alt ist der Chef? – Ich weiß nicht, ich schätze, um die Fünfzig."
schauen,,add English meaning,Schau mal! Da vorne ist noch ein Platz frei.
zuschauen,,add English meaning,"Willst du mitspielen? – Nein, ich schaue lieber nur zu."
Schaufenster,das,add English meaning,Ich habe im Schaufenster eine schicke Bluse gesehen. Der Film war toll. Die Schauspieler waren sehr gut.
Scheibe,die,add English meaning,"Fünf Scheiben Käse, bitte."
sich scheiden lassen,,add English meaning,Ich übe das reflexive Verb 'scheiden lassen'.
sich scheiden,,add English meaning,Ich übe das reflexive Verb 'scheiden'.
scheiden,,add English meaning,Dieses Verb heißt 'scheiden'.
Scheidung,die,add English meaning,n Wann war die Scheidung?
Schein,der,add English meaning,Kannst du einen Schein in Kleingeld wechseln?
scheinen,,add English meaning,Gestern hat es geregnet. Heute scheint wieder die Sonne.
schenken,,add English meaning,Wir wollen dir zum Geburtstag etwas schenken.
Schere,die,add English meaning,Die Schere hier schneidet schlecht. Hast du noch eine andere?
schicken,,add English meaning,Ich habe meinen Freunden eine Einladung zur Hochzeit geschickt.
schieben,,add English meaning,Leider ist mein Fahrrad kaputtgegangen. Ich musste es nach Hause schieben.
schief,,add English meaning,Der Spiegel hängt ganz schief.
schießen,,add English meaning,Unsere Mannschaft hat ein Tor geschossen.
Schiff,das,add English meaning,Sind Sie mit dem Schiff oder mit dem Flugzeug gekommen?
Schild,das,add English meaning,"Kannst du lesen, was dort auf dem Schild steht?"
schimpfen,,add English meaning,"Der Arzt hat mit mir geschimpft, weil ich zu wenig Sport mache."
Schinken,der,add English meaning,"Bitte, ein Brötchen mit Schinken. Es regnet. Hast du einen Schirm dabei?"
schlafen,,add English meaning,Haben Sie gut geschlafen?
Schlaf,der,add English meaning,Das Kind macht jeden Tag nach dem Mittagessen einen kurzen Schlaf.
schlagen,,add English meaning,Wer hat den Weltmeister geschlagen?
der/dasObers,,add English meaning,Ich hätte gern ein Stück Torte mit CH: Schlagobers.
Schlange,die,add English meaning,Auf der Post gibt es immer eine lange (Warte-)Schlange.
schlank,,add English meaning,In diesem Kleid siehst du sehr schlank aus.
schlecht,,add English meaning,Das Wetter ist schlecht.
schließen,,add English meaning,"Bitte, schließen Sie die Tür."
schließlich,,add English meaning,Ich musste lange warten. Aber schließlich habe ich den Job doch noch bekommen.
schlimm,,add English meaning,Die Wunde sieht schlimm aus.
Schloss,das,add English meaning,An unserer Wohnungstür ist das Schloss kaputt.
Schluss,der,add English meaning,Ich muss jetzt Schluss machen. Es klingelt an der Tür.
Schlüssel,der,add English meaning,Ich kann meine Schlüssel nicht finden. Hier kannst du nicht parken. Die Straße ist zu schmal.
schmecken,,add English meaning,Hat es Ihnen geschmeckt?
Schmerz,der,add English meaning,Haben Sie Schmerzen?
Schmerzmittel,das,add English meaning,", Sie haben Zahnschmerzen? Ich verschreibe Ihnen ein Schmerzmittel."
Schmuck,der,add English meaning,Dieser Schmuck ist von meiner Großmutter.
Schmutz,der,add English meaning,Du hast Schmutz an deinen Schuhen.
schmutzig,,add English meaning,Das Wort 'schmutzig' ist nützlich.
verschmutzen,,add English meaning,Ich wiederhole heute 'verschmutzen'.
Schnee,der,add English meaning,Im Februar gibt es oft viel Schnee.
schneien,,add English meaning,Heute Nacht hat es geschneit.
schneite,,add English meaning,Das Messer schneidet nicht.
schnell,,add English meaning,Warum fährst du so schnell?
Schnitzel,das,add English meaning,Bitte ein Schnitzel mit Kartoffeln und Salat. Ich habe Schnupfen. Welches Medikament empfehlen Sie?
Schokolade,die,add English meaning,Ich habe eine Tafel Schokolade gegessen.
schon,,add English meaning,Ist das Essen schon fertig?
schön,,add English meaning,Ich finde eure Wohnung sehr schön.
Schrank,der,add English meaning,Die Handtücher liegen im Schrank.
Schreck,der,add English meaning,Ich habe einen großen Schreck bekommen.
schrecklich,,add English meaning,Heute ist eine schreckliche Hitze.
schreiben,,add English meaning,Ich habe dir einen Brief geschrieben.
aufschreiben,,add English meaning,Ich habe mir deine Telefonnummer aufgeschrieben.
Schreiben,das,add English meaning,Das Schreiben steht auf meiner Liste.
Schrift,die,add English meaning,Ich kann leider deine Schrift nicht lesen.
schriftlich,,add English meaning,'schriftlich' kommt in vielen Texten vor.
Schriftsteller,der,add English meaning,Der Schriftsteller passt gut zu diesem Thema.
Schritt,der,add English meaning,Der Schritt ist heute wichtig.
Schuh,der,add English meaning,Die neuen Schuhe sind mir zu eng.
Schuld,die,add English meaning,"Es ist nicht meine Schuld, dass das nicht geklappt hat. schuld Ich hatte einen Unfall. Aber ich war nicht schuld."
schuld,,add English meaning,Dieses Wort heißt 'schuld'.
Schulden,die,add English meaning,Die Schulden passt gut zu diesem Thema.
schuldig,,add English meaning,Ich übe das Wort 'schuldig'.
Schule,die,add English meaning,Meine Tochter geht schon in die Schule.
Schüler,der,add English meaning,Der Schüler kommt in der Prüfung vor.
