word,article,english,example
Pommes frites,die,French fries,Die Kinder essen gern Würstchen mit Pommes frites.
populär,,popular,Diese Musik ist bei Jugendlichen populär.
Portemonnaie,das,wallet,Das Portemonnaie kommt in der Prüfung vor.
Portion,die,portion; serving,"Bitte, eine große Portion Sahne!"
positiv,,positive,Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle.
Post,die,post office; mail,Die Post macht erst um 8 Uhr auf.
Postleitzahl,die,postal code; zip code,Weißt du die Postleitzahl der Kollwitzstraße in Berlin?
Pöstler,der,mail carrier; postman,War der Pöstler schon da?
Poulet,das,chicken,D: Zum Mittagessen gibt es Poulet mit Reis.
Praktikum,das,internship,Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.
Praktikant,der,intern,Der Praktikant ist heute wichtig.
Praktikantin,die,female intern,Sie hat als Praktikantin gearbeitet.
praktisch,,practical,Ich finde diese Küchenmaschine sehr praktisch.
präsentieren,,to present,Präsentieren Sie Ihre Ergebnisse bitte im Kurs.
Präsentation,die,presentation,Die Schülerin hat für ihre Präsentation eine gute Note bekommen.
Praxis,die,practice; medical practice,Das ist die Theorie. In der Praxis ist vieles ganz anders.
Preis,der,price; prize,Die Preise sind schon wieder gestiegen.
preiswert,,inexpensive; good value,'preiswert' kommt in vielen Texten vor.
Presse,die,press; media,Darüber konnte sich jeder in der Presse informieren.
prima,,great; excellent,Mit diesen Leuten verstehe ich mich prima.
privat,,private,Hier meine Nummer im Büro und meine private Nummer.
pro,,per; each,Eintritt pro Person: zwei Euro.
Problem,das,problem,José spricht nicht gern über seine Probleme.
produzieren,,to produce,Unsere Firma produziert Feuerzeuge.
Produkt,das,product,Unsere Produkte haben eine hohe Qualität.
Produktion,die,production,Die Produktion von Käse dauert oft viele Wochen.
Professor,der,professor,Der Professor steht auf meiner Liste.
Professorin,die,female professor,Die Professorin kommt in der Prüfung vor.
Profi,der,professional; pro,Der Profi ist ein nützliches Wort.
Profisportler,der,professional athlete,Mein Sohn möchte Profisportler werden.
Programm,das,program,Hast du schon ins Programm geguckt? Gibt es heute im Fernsehen einen schönen Film?
Projekt,das,project,Der Staat fördert Projekte für Kinder und Jugendliche.
Prospekt,der,brochure; prospectus,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.
Qualifikation,die,qualification,Für diese Arbeit haben Sie gute Qualifikationen.
Qualität,die,quality,"Für mich ist nicht nur der Preis wichtig, sondern auch die Qualität."
protestieren,,to protest,Wir protestieren gegen den Bau der Autobahn.
Protest,der,protest,Alle Proteste haben nichts genützt.
Prozess,der,trial; process,Der Prozess wird direkt aus dem Gerichtssaal im Fernsehen übertragen.
prüfen,,to examine; to test,'prüfen' kommt in vielen Texten vor.
geprüft,,checked; tested,Ich wiederhole heute 'geprüft'.
Prüfung,die,exam; test,Mein Freund hat die Prüfung bestanden.
Publikum,das,audience,Es war ein tolles Konzert. Das Publikum war begeistert.
Pullover,der,sweater; pullover,Der Pullover ist warm.
pünktlich,,punctual; on time,Seien Sie bitte pünktlich.
Puppe,die,doll,Unsere kleine Tochter bekommt zum Geburtstag eine Puppe.
putzen,,to clean,Ich muss heute noch die Wohnung putzen.
Quartier,das,neighborhood; quarter,Wir wohnen in einem schönen Quartier.
quer,,across; crosswise,Ich muss zu meiner Arbeit quer durch die ganze Stadt fahren.
Quittung,die,receipt,Brauchen Sie eine Quittung?
Quiz,das,quiz,Er hat beim Quiz gewonnen.
Rabatt,der,discount,Sie bekommen zehn Prozent Rabatt.
Rad,das,wheel; bicycle,Hast du noch ein Rad? Ich bin durch Glas gefahren und jetzt ist mein Rad kaputt.
Radfahrer,der,cyclist,Achtung! Da kommt eine Radfahrerin.
Radio,das,radio,Ich möchte mir ein neues Radio kaufen.
Rand,der,edge; outskirts,Wir wohnen am Rand der Innenstadt. Dort ist es billiger und ruhiger.
Rasen,der,lawn,Bitte den Rasen nicht betreten!
raten,,to advise; to guess,Ich möchte billig Urlaub machen. Was raten Sie mir?
Rat/Ratschlag,der,advice; council,Der Rat kommt in der Prüfung vor.
Rätsel,das,riddle; puzzle,Das Rätsel ist ein nützliches Wort.
rauchen,,to smoke,Hier ist das Rauchen verboten!
Raucher,der,smoker,Gibt es hier ein Zimmer für Raucher?
Raum,der,room; space,Getränke gibt es im Raum nebenan.
rauf,,up; upstairs,"Hier ist die Treppe, also los, schnell rauf!"
Reaktion,die,reaction,Diese Reaktion ist typisch für ihn.
realisieren,,to realize; to carry out,Diese Pläne sind nicht zu realisieren.
Realität,die,reality,Das gefällt dir nicht? Aber das ist die Realität.
realistisch,,realistic,"Ich glaube nicht, dass du für das Auto noch so viel Geld bekommst. Das ist nicht realistisch."
Recherche,die,research,Für diesen Bericht waren viele Recherchen nötig.
rechnen,,to calculate,Meine Tochter kann gut rechnen.
Rechner,der,calculator; computer,Für diese Aufgabe brauche ich einen Rechner.
Recht,das,law; right,Nach deutschem Recht kann er dafür nicht bestraft werden.
rechtlich,,legal,Wir beraten Sie in rechtlichen Fragen.
recht,,right; acceptable,"Ist es Ihnen recht, wenn ich morgen vorbeikomme?"
rechts,,right; on the right,An der nächsten Kreuzung müssen Sie rechts abbiegen.
rechtzeitig,,in time; timely,Bitte weck mich rechtzeitig. Ich muss pünktlich sein.
reden,,to talk,Worüber habt ihr gestern geredet?
Rede,die,speech,", -n Der Präsident hat eine Rede gehalten."
reduzieren,,to reduce,Wir haben jetzt unsere Preise reduziert.
Referat,das,presentation; report,Vielen Dank für dieses interessante Referat.
Reform,die,reform,Die Regierung plant für nächstes Jahr eine Reform. Die Steuern sollen steigen.
Regal,das,shelf,Das Buch steht im Regal oben rechts.
Regel,die,rule,Im Straßenverkehr sind viele Regeln zu beachten.
regelmäßig,,regular; regularly,Ich wiederhole heute 'regelmäßig'.
regeln,,to regulate; to arrange,Die Ampel ist kaputt. Ein Polizist regelt den Verkehr.
regnen,,to rain,Es hat gestern den ganzen Tag geregnet.
Regen,der,rain,Der Regen ist heute wichtig.
Region,die,region,In der Rhein-Main-Region sind die Mieten sehr hoch.
regional,,regional,'regional' kommt in vielen Texten vor.
reich,,rich,"Wenn ich reich wäre, würde ich eine Weltreise machen."
reichen,,to be enough; to reach,Ich nehme nur eine Suppe. Das reicht mir.
reif,,ripe; mature,Die Banane kannst du nicht essen. Sie ist noch nicht reif.
Reifen,der,tire,Der Reifen ist kaputt.
Reihenfolge,die,order; sequence,Achten Sie auf die Reihenfolge der Inhaltspunkte.
rein,,pure,Der Pullover ist aus reiner Wolle.
reinigen,,to clean,Ich möchte diesen Anzug reinigen lassen.
Reinigung,die,cleaning; dry cleaner,Die Reinigung des Büros ist nicht teuer.
Reis,der,rice,"Eine Portion Huhn mit Reis, bitte."
reisen,,to travel,Ich reise gern nach Spanien.
Reise,die,trip; journey,Wir haben eine Reise nach Österreich gebucht.
Reisebüro,das,travel agency,Wir haben die Reise im Reisebüro gebucht.
reiten,,to ride a horse,Möchtest du gerne reiten lernen?
Reklame,die,advertising; ad,Ich möchte keine Reklame im Briefkasten.
Rekord,der,record,Es gibt einen neuen Rekord im Schwimmen.
relativ,,relative; relatively,"Die Wohnung ist relativ groß, aber sehr teuer."
Religion,die,religion,Religion ist für manche Menschen sehr wichtig.
rennen,,to run,"Ich bin sehr schnell gerannt, aber der Bus war schon weg."
in Rente gehen/sein,,to retire; to be retired,Das Verb in Rente gehen ist wichtig.
Rentner,der,pensioner; retiree,Der Rentner kommt in der Prüfung vor.
reparieren,,to repair,Das Fahrrad kann man leider nicht mehr reparieren.
Reparatur,die,repair,Eine Reparatur wäre zu teuer.
Reportage,die,report; feature story,Die Reportage ist heute wichtig.
Reporter,der,reporter,Der Reporter steht auf meiner Liste.
reservieren,,to reserve,Ich wiederhole heute 'reservieren'.
Reservierung,die,reservation,Ich habe eine Reservierung für zwei Personen.
Respekt,der,respect,Der Respekt passt gut zu diesem Thema.
Rest,der,rest; remainder,Hier sind 100 Euro. Den Rest gebe ich dir später.
Restaurant,das,restaurant,Wir essen heute im Restaurant.
retten,,to save; to rescue,Der Arzt konnte das Kind noch retten.
Rezept,das,prescription; recipe,Diese Schmerztabletten gibt es nur auf Rezept.
Rezeption/Reception,die,reception,Geben Sie bitte den Schlüssel an der Rezeption ab.
Richter,der,judge,Der Richter hat noch kein Urteil gesprochen.
richtig,,correct; right,"Was Sie da sagen, ist richtig."
Richtung,die,direction,Der Zug in Richtung Köln hat Verspätung.
riechen,,to smell,Dieses Parfüm riecht sehr gut.
riesig,,huge; enormous,Die Stadt ist riesig.
Rind,das,cattle; beef,Ich esse nur Fleisch vom Rind.
Ring,der,ring,Ich habe meinen Ring verloren.
Risiko,das,risk,Ich nehme keinen Kredit auf. Das Risiko ist mir zu hoch.
Rock,der,skirt,Diese Bluse passt nicht zu meinem Rock.
roh,,raw,Du kannst das nicht essen. Das Fleisch ist noch roh.
Rohr,das,oven; pipe,Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Rohr.
Rolle,die,role; roll,Die Schauspielerin hat ihre Rolle sehr gut gespielt.
Roman,der,novel,Ich lese gern Romane.
Rose,die,rose,Rote Rosen sind ein schönes Geschenk.
Rucksack,der,backpack,Ich brauche nicht viel. Ich nehme nur meinen Rucksack mit.
Rückfahrt,die,return; back,Auf der Rückfahrt besuche ich meine Eltern.
Rückkehr,die,return,Nach meiner Rückkehr haben wir ein großes Fest gefeiert.
rückwärts,,backward,Ich bin rückwärts aus der Garage gefahren.
Rücken,der,back,Mir tut der Rücken weh.
rufen,,to call; to shout,"Ich habe die Kinder gerufen, aber sie haben mich nicht gehört."
Rufnummer,die,phone number,Wir möchten Sie gerne anrufen. Wie ist Ihre Rufnummer?
Ruhe,die,quiet; rest,Die Ruhe steht auf meiner Liste.
ruhig,,quiet; calm,Ich suche ein ruhiges Zimmer.
rund,,round,Wir haben für unser Wohnzimmer einen runden Tisch gekauft.
Runde,die,round; lap,Ich laufe jeden Tag fünf Runden im Park.
Rundfahrt,die,tour; sightseeing trip,Am zweiten Tag haben wir eine Rundfahrt durch den Hafen gemacht.
Saal,der,hall,Für unsere Familienfeier haben wir einen kleinen Saal gemietet.
Sache,die,thing; matter,Wir haben unsere Sachen im Hotel gelassen.
Sack,der,sack; bag,Ich hätte gern einen Sack Kartoffeln.
Saft,der,juice,Ich trinke gern Apfelsaft.
sagen,,to say,Entschuldigung! Was haben Sie gesagt?
Saison,die,season,Urlaub in den Schulferien ist immer teurer. Das ist die Saison mit den höchsten Preisen.
Salat,der,salad,Möchten Sie zum Fisch einen Salat?
Salbe,die,ointment,Diese Salbe gibt es nur auf Rezept.
Salon,der,salon,Sie arbeitet als Friseurin in einem Salon.
Salz,das,salt,Gib mir bitte mal das Salz!
salzig,,salty,Das Wort 'salzig' ist nützlich.
sammeln,,to collect,Mein Bruder sammelt Briefmarken.
sämtliche,,all; every single,Sämtliche Fenster müssen geschlossen bleiben.
Sand,der,sand,Der Sand passt gut zu diesem Thema.
Sänger,der,singer,Wie findest du diesen Sänger? − Ich finde seine Stimme toll.
satt,,full; satisfied,"Möchten Sie noch etwas? – Nein danke, ich bin satt."
Satz,der,sentence,Den letzten Satz verstehe ich nicht.
sauber,,clean,Bringen Sie mir bitte ein sauberes Glas!
sauer,,sour; angry,Die Äpfel sind mir zu sauer.
Schachtel,die,box; packet,Ich hätte gern eine Schachtel Zigaretten.
schade,,too bad; pity,Ich kann leider nicht mitkommen. – Das ist aber schade!
schaden,,to harm,Ein kleines Glas Wein kann nicht schaden.
Schaden,der,damage,Ich hatte einen Unfall mit dem Auto. Jetzt muss ich den Schaden der Versicherung melden.
schaffen,,to manage; to create,"Kannst du mir helfen, die Party vorzubereiten? Ich schaffe das nicht allein."
schalten,,to switch,"Schalten Sie bitte das Licht aus, wenn Sie gehen."
Schalter,der,switch; counter,Der Lichtschalter ist rechts neben der Tür.
Schatten,der,shadow; shade,Im Schatten ist es angenehm kühl.
schauen,,to look,Schau mal! Da vorne ist noch ein Platz frei.
zuschauen,,to watch,"Willst du mitspielen? – Nein, ich schaue lieber nur zu."
Schaufenster,das,shop window,Ich habe im Schaufenster eine schicke Bluse gesehen.
Scheibe,die,slice; pane,"Fünf Scheiben Käse, bitte."
sich scheiden lassen,,to get divorced,Ich übe das reflexive Verb 'scheiden lassen'.
sich scheiden,,to divorce; to separate,Ich übe das reflexive Verb 'scheiden'.
scheiden,,to separate; to divorce,Dieses Verb heißt 'scheiden'.
Scheidung,die,divorce,Wann war die Scheidung?
Schein,der,bill; note; certificate,Kannst du einen Schein in Kleingeld wechseln?
scheinen,,to shine; to seem,Gestern hat es geregnet. Heute scheint wieder die Sonne.
schenken,,to give as a gift,Wir wollen dir zum Geburtstag etwas schenken.
Schere,die,scissors,Die Schere hier schneidet schlecht. Hast du noch eine andere?
schicken,,to send,Ich habe meinen Freunden eine Einladung zur Hochzeit geschickt.
schieben,,to push,Leider ist mein Fahrrad kaputtgegangen. Ich musste es nach Hause schieben.
schief,,crooked; slanted,Der Spiegel hängt ganz schief.
schießen,,to shoot,Unsere Mannschaft hat ein Tor geschossen.
Schiff,das,ship,Sind Sie mit dem Schiff oder mit dem Flugzeug gekommen?
Schild,das,sign; shield,"Kannst du lesen, was dort auf dem Schild steht?"
schimpfen,,to scold,"Der Arzt hat mit mir geschimpft, weil ich zu wenig Sport mache."
Schinken,der,ham,"Bitte, ein Brötchen mit Schinken."
schlafen,,to sleep,Haben Sie gut geschlafen?
Schlaf,der,sleep,Das Kind macht jeden Tag nach dem Mittagessen einen kurzen Schlaf.
schlagen,,to hit; to beat,Wer hat den Weltmeister geschlagen?
Obers,der,cream; whipped cream,Ich hätte gern ein Stück Torte mit Schlagobers.
Schlange,die,snake; line; queue,Auf der Post gibt es immer eine lange (Warte-)Schlange.
schlank,,slim,In diesem Kleid siehst du sehr schlank aus.
schlecht,,bad; poor,Das Wetter ist schlecht.
schließen,,to close,"Bitte, schließen Sie die Tür."
schließlich,,finally; after all,Ich musste lange warten. Aber schließlich habe ich den Job doch noch bekommen.
schlimm,,bad; serious,Die Wunde sieht schlimm aus.
Schloss,das,lock; castle,An unserer Wohnungstür ist das Schloss kaputt.
Schluss,der,end; conclusion,Ich muss jetzt Schluss machen. Es klingelt an der Tür.
Schlüssel,der,key,Ich kann meine Schlüssel nicht finden.
schmecken,,to taste,Hat es Ihnen geschmeckt?
Schmerz,der,pain,Haben Sie Schmerzen?
Schmerzmittel,das,painkiller,Sie haben Zahnschmerzen? Ich verschreibe Ihnen ein Schmerzmittel.
Schmuck,der,jewelry,Dieser Schmuck ist von meiner Großmutter.
Schmutz,der,dirt,Du hast Schmutz an deinen Schuhen.
schmutzig,,dirty,Das Wort 'schmutzig' ist nützlich.
verschmutzen,,to pollute,Ich wiederhole heute 'verschmutzen'.
Schnee,der,snow,Im Februar gibt es oft viel Schnee.
schneien,,to snow,Heute Nacht hat es geschneit.
schneiden,,to cut,Das Messer schneidet nicht.
schnell,,fast; quick,Warum fährst du so schnell?
Schnitzel,das,schnitzel,Bitte ein Schnitzel mit Kartoffeln und Salat.
Schokolade,die,chocolate,Ich habe eine Tafel Schokolade gegessen.
schon,,already,Ist das Essen schon fertig?
schön,,beautiful; nice,Ich finde eure Wohnung sehr schön.
Schrank,der,cabinet; wardrobe,Die Handtücher liegen im Schrank.
Schreck,der,fright; shock,Ich habe einen großen Schreck bekommen.
schrecklich,,terrible; awful,Heute ist eine schreckliche Hitze.
schreiben,,to write,Ich habe dir einen Brief geschrieben.
aufschreiben,,to write down,Ich habe mir deine Telefonnummer aufgeschrieben.
Schreiben,das,letter; writing,Das Schreiben steht auf meiner Liste.
Schrift,die,handwriting; script,Ich kann leider deine Schrift nicht lesen.
schriftlich,,written; in writing,'schriftlich' kommt in vielen Texten vor.
Schriftsteller,der,writer; author,Der Schriftsteller passt gut zu diesem Thema.
Schritt,der,step,Der Schritt ist heute wichtig.
Schuh,der,shoe,Die neuen Schuhe sind mir zu eng.
Schuld,die,fault; blame,"Es ist nicht meine Schuld, dass das nicht geklappt hat."
schuld,,guilty; at fault,Dieses Wort heißt 'schuld'.
Schulden,die,debts,Die Schulden passt gut zu diesem Thema.
schuldig,,guilty,Ich übe das Wort 'schuldig'.
Schule,die,school,Meine Tochter geht schon in die Schule.
Schüler,der,student; pupil,Der Schüler kommt in der Prüfung vor.
Schulter,die,shoulder,Ich habe Schmerzen in der rechten Schulter.
Schüssel,die,bowl,Gibst du mir bitte eine Schüssel für den Salat?
schütteln,,to shake,Die Flasche muss man vor dem Öffnen schütteln.
schützen,,to protect,Diese Impfung schützt vor Grippe.
Schutz,der,protection,Das ist ein guter Schutz gegen Kälte.
schwach,,weak,Ich bin noch nicht gesund. Ich fühle mich noch sehr schwach.
Schwammerl,das,mushroom,Haben Sie frische Schwammerln?
schwanger,,pregnant,Meine Frau ist im dritten Monat schwanger.
Schwangerschaft,die,pregnancy,Sie dürfen während der Schwangerschaft nicht rauchen.
schweigen,,to be silent,"Sie sprach viel, aber ihr Mann schwieg den ganzen Abend lang."
schwer,,heavy; difficult,Der Koffer ist viel zu schwer.
Schwester,die,sister; nurse,Ich habe eine ältere Schwester und einen jüngeren Bruder.
Schwierigkeit,die,difficulty,Ich hatte große Schwierigkeiten einen Parkplatz zu bekommen.
